model,accuracy,precision,recall,f1,roc_auc,pr_auc,best_threshold,best_threshold_f1
random_forest,0.6933416611845753,0.4328970850684117,0.6287820965163669,0.5127687185479657,0.7366634446084004,0.504742145185805,0.4699999999999998,0.5141876905258788
logistic_regression,0.7039707588939234,0.4405213587465964,0.568498970319273,0.4963942383260715,0.7208367708935672,0.4827838437303457,0.45999999999999985,0.5023258408165542
hist_gradient_boosting,0.7674829439200527,0.6071604532764001,0.2662048704618442,0.3701293500460534,0.7484010672298923,0.516016921542683,0.2699999999999999,0.5246086007616417
neural_network_mlp,0.764308258616739,0.6072618506739361,0.23097970880917063,0.3346652617082764,0.73343636207928,0.4994147137253547,0.2599999999999999,0.5122221912383926
