model,accuracy,macro_f1,weighted_f1
random_forest,0.4389006586248144,0.4003839784778391,0.45784063969581035
logistic_regression,0.438079179096949,0.36857941799876176,0.44639133780392104
hist_gradient_boosting,0.5699338492801245,0.27277291674616094,0.43447383704653836
neural_network_mlp,0.568680012106014,0.24746248666056672,0.4168106342225415
